task,model,metric,value
breakhis,densenet169,nce_score,-0.5378367181287438
breakhis,densenet169,leep_score,-0.5477749450012827
breakhis,densenet169,nleep_score,-0.5254729568760887
breakhis,densenet169,gbc_score,-0.5500902050839204
breakhis,densenet169,reg_hscore_score,0.7275363640764927
breakhis,densenet169,hscore_score,0.8471129271541274
breakhis,densenet169,logme_score,-0.1844126353610288
breakhis,densenet161,nce_score,-0.5330459457126125
breakhis,densenet161,leep_score,-0.5376744285508428
breakhis,densenet161,nleep_score,-0.47981348592113454
breakhis,densenet161,gbc_score,-0.6505111962222999
breakhis,densenet161,reg_hscore_score,0.7406210777840929
breakhis,densenet161,hscore_score,0.7884328595739127
breakhis,densenet161,logme_score,-0.1723728761555588
breakhis,densenet121,nce_score,-0.5440204251567452
breakhis,densenet121,leep_score,-0.573961107417477
breakhis,densenet121,nleep_score,-0.5496796962331549
breakhis,densenet121,gbc_score,-0.8765360792527637
breakhis,densenet121,reg_hscore_score,0.7235772417930226
breakhis,densenet121,hscore_score,0.7468693598653683
breakhis,densenet121,logme_score,-0.19161576618180415
breakhis,mobilenetv2_100,nce_score,-0.5364529625893462
breakhis,mobilenetv2_100,leep_score,-0.5773045490955534
breakhis,mobilenetv2_100,nleep_score,-0.5174874503038804
breakhis,mobilenetv2_100,gbc_score,-0.7680108932294482
breakhis,mobilenetv2_100,reg_hscore_score,0.7333425335586554
breakhis,mobilenetv2_100,hscore_score,0.7541216638285898
breakhis,mobilenetv2_100,logme_score,-0.21683874528085928
breakhis,mobilenetv2_050,nce_score,-0.5427127442634669
breakhis,mobilenetv2_050,leep_score,-0.5832523823653806
breakhis,mobilenetv2_050,nleep_score,-0.501125651852707
breakhis,mobilenetv2_050,gbc_score,-0.7182740899289142
breakhis,mobilenetv2_050,reg_hscore_score,0.7140948676671878
breakhis,mobilenetv2_050,hscore_score,0.7363933876279453
breakhis,mobilenetv2_050,logme_score,-0.2565347645364118
breakhis,resnet18,nce_score,-0.525018726615389
breakhis,resnet18,leep_score,-0.5398689995365461
breakhis,resnet18,nleep_score,-0.4787787796105533
breakhis,resnet18,gbc_score,-0.5109253997483334
breakhis,resnet18,reg_hscore_score,0.6417068305278719
breakhis,resnet18,hscore_score,0.6483530100851386
breakhis,resnet18,logme_score,-0.25147076482700226
breakhis,resnet34,nce_score,-0.5370507712110388
breakhis,resnet34,leep_score,-0.5641415318392605
breakhis,resnet34,nleep_score,-0.5254518848537694
breakhis,resnet34,gbc_score,-0.6147209443683969
breakhis,resnet34,reg_hscore_score,0.6389665445817099
breakhis,resnet34,hscore_score,0.647005257269881
breakhis,resnet34,logme_score,-0.25796285210972947
breakhis,efficientnet_b0,nce_score,-0.5587845165326257
breakhis,efficientnet_b0,leep_score,-0.5833845001461081
breakhis,efficientnet_b0,nleep_score,-0.5529528836137475
